name,short_label,kind,category,avianz_macro_f1,avianz_adaptive_f1,avianz_cross_f1,avianz_acc,avianz_acc_labelled,avianz_adaptive_acc,avianz_adaptive_acc_labelled,doc_macro_f1,doc_adaptive_f1,doc_cross_f1,doc_acc,doc_acc_labelled,doc_adaptive_acc,doc_adaptive_acc_labelled
birdnet_pretrained_seed0,"BirdNet
(pretrained)",birdnet,BirdNET (Pretrained),0.1649,0.26,0.2305,45.2096,19.3548,0.0,0.0,0.2339,0.505,0.2793,62.8916,28.1437,64.5783,31.1377
regnet_on_doc_baseline,"RegNet
Baseline",ours,REGNET,0.1325,0.2984,0.0924,50.2994,13.5484,1.497,3.2258,0.448,0.5672,0.2774,69.8795,41.9162,73.7349,43.7126
regnet_on_doc_bgsub,"RegNet
+BgSub",ours,REGNET,0.1892,0.358,0.1824,49.1018,26.4516,25.4491,18.0645,0.472,0.6316,0.3528,71.0843,46.1078,76.1446,53.8922
kaytoo_pretrained_seed0,"Kaytoo
(pretrained)",kaytoo,Kaytoo (Pretrained),0.3049,0.4861,0.3522,35.9281,34.1935,40.1198,42.5806,0.5011,0.6307,0.4238,51.5663,43.7126,68.6747,53.2934
kaytoo_finetuned_seed0,"Kaytoo
(finetuned)",kaytoo,Kaytoo (Finetuned),0.045,0.3091,0.2461,11.3772,17.4194,39.521,15.4839,0.0914,0.3969,0.323,23.3735,30.5389,44.8193,37.1257
regnet_on_doc_scaling_kbird2_bgsubtract_N8000_seed0,"RegNet
Scale N=8k",ours,REGNET,0.3561,0.4665,0.2468,39.8204,37.4194,38.024,52.2581,0.4476,0.5453,0.4389,41.9277,58.6826,68.1928,57.485
regnet_on_doc_scaling_kbird2_bgsubtract_ft_N8000_seed0,"RegNet
N=8k+FT",ours,REGNET,0.2169,0.4325,0.2731,56.2874,15.4839,45.509,42.5806,0.541,0.6408,0.5193,69.6386,52.0958,72.0482,67.6647
